SRR5839476	PRJNA394987	SAMN07368093	PBMC	sorted CD45RA+ CCR7+ CD8 T cells	PBMC			CD8 T cell	CD8 T cell	CD8 T cell
SRR5839477	PRJNA394987	SAMN07368092	PBMC	sorted CD45RA+ CCR7+ CD8 T cells	PBMC			CD8 T cell	CD8 T cell	CD8 T cell
SRR5839478	PRJNA394987	SAMN07368091	PBMC	sorted CD45RA+ CCR7+ CD8 T cells	PBMC			CD8 T cell	CD8 T cell	CD8 T cell
SRR5839479	PRJNA394987	SAMN07368090	PBMC	sorted CD45RA+ CCR7+ CD8 T cells	PBMC			CD8 T cell	CD8 T cell	CD8 T cell
SRR5839480	PRJNA394987	SAMN07368089	PBMC	sorted CD45RA+ CCR7+ CD8 T cells	PBMC			CD8 T cell	CD8 T cell	CD8 T cell
SRR5839481	PRJNA394987	SAMN07368088	PBMC	sorted CD45RA+ CCR7+ CD8 T cells	PBMC			CD8 T cell	CD8 T cell	CD8 T cell
SRR5839482	PRJNA394987	SAMN07368087	PBMC	sorted CD45RA+ CCR7+ CD8 T cells	PBMC			CD8 T cell	CD8 T cell	CD8 T cell
SRR5839483	PRJNA394987	SAMN07368086	PBMC	sorted CD45RA+ CCR7+ CD8 T cells	PBMC			CD8 T cell	CD8 T cell	CD8 T cell
SRR5839484	PRJNA394987	SAMN07368085	PBMC	sorted CD45RA+ CCR7+ CD8 T cells	PBMC			CD8 T cell	CD8 T cell	CD8 T cell
SRR5839485	PRJNA394987	SAMN07368084	PBMC	sorted CD45RA+ CCR7+ CD8 T cells	PBMC			CD8 T cell	CD8 T cell	CD8 T cell
SRR5839486	PRJNA394987	SAMN07368083	PBMC	sorted CD45RA+ CCR7+ CD8 T cells	PBMC			CD8 T cell	CD8 T cell	CD8 T cell
SRR5839487	PRJNA394987	SAMN07368082	PBMC	sorted CD45RA+ CCR7+ CD8 T cells	PBMC			CD8 T cell	CD8 T cell	CD8 T cell
SRR5839488	PRJNA394987	SAMN07368081	PBMC	sorted CD45RA+ CCR7+ CD8 T cells	PBMC			CD8 T cell	CD8 T cell	CD8 T cell
SRR5839489	PRJNA394987	SAMN07368080	PBMC	sorted CD45RA+ CCR7+ CD8 T cells	PBMC			CD8 T cell	CD8 T cell	CD8 T cell
SRR5839490	PRJNA394987	SAMN07368110	PBMC	sorted CD45RA+ CCR7+ CD8 T cells	PBMC			CD8 T cell	CD8 T cell	CD8 T cell
SRR7650745	PRJNA484801	SAMN09769820	primary blood	Effector_CD4pos_T				Teffs	CD4 T cell	CD4 T cell
SRR7650746	PRJNA484801	SAMN09769819	primary blood	Effector_CD4pos_T				Teffs	CD4 T cell	CD4 T cell
SRR7650747	PRJNA484801	SAMN09769818	primary blood	Follicular_T_Helper				Follicular_T_Helper	CD4 T cell	CD4 T cell
SRR7650748	PRJNA484801	SAMN09769817	primary blood	Follicular_T_Helper				Follicular_T_Helper	CD4 T cell	CD4 T cell
SRR7650749	PRJNA484801	SAMN09769816	primary blood	Memory_Teffs				Memory_Teffs	CD4 T cell	CD4 T cell
SRR7650750	PRJNA484801	SAMN09769815	primary blood	Memory_Teffs				Memory_Teffs	CD4 T cell	CD4 T cell
SRR7650751	PRJNA484801	SAMN09769814	primary blood	Memory_Tregs				Memory_Tregs	CD4 T cell	CD4 T cell
SRR7650752	PRJNA484801	SAMN09769963	primary blood	Memory_Tregs				Memory_Tregs	CD4 T cell	CD4 T cell
SRR7650753	PRJNA484801	SAMN09769962	primary blood	Naive_Teffs				Teffs	CD4 T cell	CD4 T cell
SRR7650754	PRJNA484801	SAMN09769813	primary blood	Naive_Teffs				Teffs	CD4 T cell	CD4 T cell
SRR7650755	PRJNA484801	SAMN09769812	primary blood	Regulatory_T				Tregs	CD4 T cell	CD4 T cell
SRR7650756	PRJNA484801	SAMN09769965	primary blood	Regulatory_T				Tregs	CD4 T cell	CD4 T cell
SRR7650757	PRJNA484801	SAMN09769964	primary blood	Th1_precursors				Th1 T cell	CD4 T cell	CD4 T cell
SRR7650758	PRJNA484801	SAMN09769961	primary blood	Th1_precursors				Th1 T cell	CD4 T cell	CD4 T cell
SRR7650759	PRJNA484801	SAMN09769960	primary blood	Th17_precursors				Th17 T cell	CD4 T cell	CD4 T cell
SRR7650760	PRJNA484801	SAMN09769959	primary blood	Th17_precursors				Th17 T cell	CD4 T cell	CD4 T cell
SRR7650761	PRJNA484801	SAMN09769958	primary blood	Th2_precursors				Th2 T cell	CD4 T cell	CD4 T cell
SRR7650762	PRJNA484801	SAMN09769957	primary blood	Th2_precursors				Th2 T cell	CD4 T cell	CD4 T cell
SRR7650788	PRJNA484801	SAMN09769991	primary blood	Effector_CD4pos_T				Teffs	CD4 T cell	CD4 T cell
SRR7650789	PRJNA484801	SAMN09769989	primary blood	Effector_CD4pos_T				Teffs	CD4 T cell	CD4 T cell
SRR7650790	PRJNA484801	SAMN09769988	primary blood	Follicular_T_Helper				Follicular_T_Helper	CD4 T cell	CD4 T cell
SRR7650791	PRJNA484801	SAMN09769987	primary blood	Follicular_T_Helper				Follicular_T_Helper	CD4 T cell	CD4 T cell
SRR7650792	PRJNA484801	SAMN09769986	primary blood	Memory_Teffs				Memory_Teffs	CD4 T cell	CD4 T cell
SRR7650793	PRJNA484801	SAMN09769985	primary blood	Memory_Teffs				Memory_Teffs	CD4 T cell	CD4 T cell
SRR7650794	PRJNA484801	SAMN09769984	primary blood	Memory_Tregs				Memory_Tregs	CD4 T cell	CD4 T cell
SRR7650795	PRJNA484801	SAMN09769983	primary blood	Memory_Tregs				Memory_Tregs	CD4 T cell	CD4 T cell
SRR7650796	PRJNA484801	SAMN09769982	primary blood	Naive_Teffs				Teffs	CD4 T cell	CD4 T cell
SRR7650797	PRJNA484801	SAMN09769981	primary blood	Naive_Teffs				Teffs	CD4 T cell	CD4 T cell
SRR7650798	PRJNA484801	SAMN09769980	primary blood	Regulatory_T				Tregs	CD4 T cell	CD4 T cell
SRR7650799	PRJNA484801	SAMN09769979	primary blood	Regulatory_T				Tregs	CD4 T cell	CD4 T cell
SRR7650800	PRJNA484801	SAMN09769978	primary blood	Th1_precursors				Th1 T cell	CD4 T cell	CD4 T cell
SRR7650801	PRJNA484801	SAMN09769977	primary blood	Th1_precursors				Th1 T cell	CD4 T cell	CD4 T cell
SRR7650802	PRJNA484801	SAMN09769976	primary blood	Th17_precursors				Th17 T cell	CD4 T cell	CD4 T cell
SRR7650803	PRJNA484801	SAMN09769975	primary blood	Th17_precursors				Th17 T cell	CD4 T cell	CD4 T cell
SRR7650804	PRJNA484801	SAMN09769974	primary blood	Th2_precursors				Th2 T cell	CD4 T cell	CD4 T cell
